,Car Name,Making Year,Registration year,Fule,km_driven,Engine_Displacement,No_Of_Owner,RTO,Transmission,Insurance_Type,Current_Price,Avg_market_price,New_Car_Road_Price,Mileage,Seats,Color,Engine,Max_Power,Torque
998,2011 Hyundai Santro Xing,2011,Jun-11,Petrol,52851,1086 cc,3rd Owner,HR26,Manual,Not Available,203000,213150,442726,17.92 kmpl,13,5,1086 CC,62.1bhp,96.1Nm
999,2013 Maruti Alto 800,2013,Nov-13,Petrol,22370,796 cc,1st Owner,DL13,Manual,Third Party insurance,179898,188893,369015,22.05 kmpl,5,White,796 CC,47.33bhp,69Nm
1000,2014 Chevrolet Beat,2013,Feb-14,Diesel,11965,936 cc,1st Owner,DL8C,Manual,Not Available,156000,163800,683154,25.44 kmpl,14,5,936 CC,57.6bhp,150Nm
1001,2017 Hyundai Creta,2017,Sep-17,Diesel,48067,1396 cc,1st Owner,HR51,Manual,Third Party insurance,760000,798000,1127362,22.1 kmpl,5,Other,1396 CC,88.7bhp,219.7Nm
1002,2017 Mahindra XUV500,2017,Aug-17,Diesel,64819,1997 cc,2nd Owner,UP14,Manual,Third Party insurance,980500,1029525,1912008,16 kmpl,17,7,1997 CC,140bhp,320Nm
1003,2014 Chevrolet Beat,2014,Jun-14,Diesel,53184,936 cc,2nd Owner,DL8C,Manual,Third Party insurance,137500,144375,555972,25.44 kmpl,5,White,936 CC,56.3bhp,142.5Nm
1004,2017 Hyundai Creta,2017,Sep-17,Diesel,51742,1582 cc,1st Owner,HR29,Automatic,Third Party insurance,986500,1035825,1571702,17.01 kmpl,16,5,1582 CC,126.2bhp,259.9Nm
1005,2019 Maruti Swift,2019,Dec-19,Petrol,7986,1197 cc,1st Owner,DL6C,Manual,Not Available,535000,561750,602766,21.21 kmpl,5,Grey,1197 CC,81.80bhp,113Nm
1006,2018 Maruti Ertiga,2018,Mar-18,CNG,30276,1373 cc,1st Owner,DL5C,Manual,Third Party insurance,825500,866775,941840,17.5 kmpl,7,Grey,1373 CC,80.46bhp,112Nm
1007,2014 Toyota Fortuner,2014,Aug-14,Diesel,13975,2982 cc,1st Owner,UP16,Automatic,Third Party insurance,1474500,1548225,3033055,12.55 kmpl,17,7,2982 CC,168.5bhp,360Nm
1009,2013 Honda Brio,2012,Jan-13,Petrol,37526,1198 cc,1st Owner,HR51,Manual,Third Party insurance,260000,273000,579711,18.5 kmpl,5,White,1198 CC,86.8bhp,109Nm
1010,2018 Maruti Alto K10,2017,Feb-18,Petrol,34854,998 cc,1st Owner,HR26,Manual,Third Party insurance,270000,283500,398537,23.95 kmpl,5,White,998 CC,67.1bhp,90Nm
1011,2012 Maruti Swift Dzire,2012,Apr-12,Petrol,56773,1197 cc,2nd Owner,DL3C,Automatic,Third Party insurance,280000,294000,738753,17.4 kmpl,14,5,1197 CC,85.8bhp,114Nm
1012,2015 Renault Duster,2015,May-15,Diesel,10616,1461 cc,1st Owner,HR51,Manual,Third Party insurance,426840,448182,1262332,19.64 kmpl,5,Silver,1461 CC,108.45bhp,245Nm
1013,2020 Hyundai Venue,2020,Sep-20,Petrol,13293,998 cc,1st Owner,DL1C,Manual,Third Party insurance,920000,966000,1229981,18 kmpl,5,White,998 CC,118.35bhp,171.6Nm
1014,2017 Hyundai Grand i10,2016,Jan-17,Petrol,59387,1197 cc,1st Owner,DL3C,Manual,Third Party insurance,410000,430500,617185,18.9 kmpl,5,White,1197 CC,82bhp,114Nm
1015,2015 Honda City,2015,Jun-15,Petrol,78296,1497 cc,2nd Owner,DL04,Manual,Third Party insurance,541681,568765,1069130,17.4 kmpl,15,5,1497 CC,117.3bhp,145Nm
