,Car Name,Making Year,Registration year,Fule,km_driven,Engine_Displacement,No_Of_Owner,RTO,Transmission,Insurance_Type,Current_Price,Avg_market_price,New_Car_Road_Price,Mileage,Seats,Color,Engine,Max_Power,Torque
895,2017 Hyundai Creta,2017,Jun-17,Petrol,35096,1591 cc,1st Owner,UP14,Manual,Third Party insurance,770000,808500,1145594,15.8 kmpl,5,White,1591 CC,121.3bhp,151Nm
896,2014 Maruti Eeco,2014,May-14,CNG,67575,1196 cc,2nd Owner,DL5C,Manual,Third Party,227500,238875,544727,21.94 km/kg,5,Grey,1196 CC,61.7bhp,85Nm
897,2012 Maruti Alto K10,2012,Apr-12,Petrol,58877,998 cc,2nd Owner,DL3C,Manual,Not Available,192000,201600,373048,20.92 kmpl,13,5,998 CC,67.1bhp,90Nm
898,2019 Hyundai Santro,2018,Jan-19,Petrol,#VALUE!,1086 cc,1st Owner,HR51,Manual,Third Party insurance,462500,485625,558820,20.3 kmpl,5,White,1086 CC,68bhp,99Nm
899,2017 Honda Jazz,2016,Jan-17,Petrol,21369,1199 cc,1st Owner,DL1C,Automatic,Third Party insurance,584000,613200,988046,17.1 kmpl,R15,5,1199 CC,88.50bhp,110Nm
900,2014 Volkswagen Polo,2014,Oct-14,Petrol,53019,1197 cc,2nd Owner,DL14,Automatic,Third Party insurance,440000,462000,942938,17.21 kmpl,15,5,1197 CC,103.6bhp,175Nm
901,2017 Maruti Alto 800,2017,Mar-17,Petrol,23845,796 cc,1st Owner,UP16,Manual,Third Party insurance,240000,252000,421642,24.7 kmpl,5,Other,796 CC,47.3bhp,69Nm
902,2016 Maruti Celerio,2016,Jun-16,Petrol,57136,998 cc,1st Owner,DL8C,Manual,Not Available,335000,351750,440915,23.1 kmpl,5,White,998 CC,67.04bhp,90Nm
903,2014 Maruti Ertiga,2014,Dec-14,Petrol,58640,1373 cc,1st Owner,DL1C,Manual,Third Party insurance,486420,510741,777045,16.02 kmpl,7,Silver,1373 CC,93.7bhp,130Nm
904,2019 Honda Amaze,2019,Jan-19,Petrol,24667,1198 cc,1st Owner,DL4C,Manual,Not Available,584000,613200,636686,17.8 kmpl,5,Silver,1198 CC,86.7bhp,109Nm
905,2015 Toyota Corolla Altis,2015,Feb-15,Petrol,43241,1798 cc,1st Owner,DL10,Automatic,Third Party insurance,945000,992250,2171940,14.28 kmpl,16,5,1798 CC,138.03bhp,173Nm
906,2020 Maruti Baleno,2020,Jun-20,Petrol,15469,1197 cc,1st Owner,DL12,Manual,Third Party insurance,631000,662550,782606,21.01 kmpl,5,Other,1197 CC,81.80bhp,113Nm
907,2013 Maruti Swift,2013,Mar-13,Petrol,46699,1197 cc,1st Owner,DL9C,Manual,Not Available,387500,406875,548912,18.6 kmpl,14,5,1197 CC,85.8bhp,114Nm
908,2017 Maruti Ciaz,2017,May-17,Diesel,46273,1248 cc,1st Owner,DL10,Manual,Not Available,680500,714525,1120678,28.09 kmpl,5,Other,1248 CC,88.5bhp,200Nm
909,2016 Maruti Celerio,2015,May-16,Diesel,63922,793 cc,1st Owner,5 2021,Automatic,Manual,316500,332325,563435,27.62 kmpl,5,White,793 CC,47bhp,125Nm
910,2016 Maruti Wagon R,2016,Dec-16,Petrol,81944,998 cc,1st Owner,HR51,Manual,Third Party insurance,352000,369600,453597,20.51 kmpl,5,White,998 CC,67.04bhp,90Nm
911,2011 Hyundai i20,2011,Dec-11,Petrol,69356,1197 cc,2nd Owner,HR26,Manual,Third Party insurance,300000,315000,547106,18.5 kmpl,14,5,1197 CC,80 PS at 5200 rpm,"11.4 kgm at 4,000 rpm"
912,2021 Maruti Swift,2021,Feb-21,Petrol,1669,1197 cc,1st Owner,UP14,Manual,Third Party insurance,629000,660450,624160,21.21 kmpl,5,Other,1197 CC,81.80bhp,113Nm
913,2015 Honda Amaze,2015,Dec-15,Petrol,70418,1198 cc,1st Owner,DL10,Manual,Not Available,433500,455175,675932,18 kmpl,5,Blue,1198 CC,86.7bhp,109Nm
914,2011 Honda City,2011,Apr-11,Petrol,70805,1497 cc,1st Owner,DL3C,Manual,Third Party insurance,362500,380625,968765,17 kmpl,15,5,1497 CC,"118PS at 6,600 rpm",146Nm at 4800 rpm
915,2011 Hyundai i10,2011,Mar-11,Petrol,87964,1086 cc,1st Owner,DL8C,Manual,Third Party insurance,180000,189000,479880,19.81 kmpl,5,Grey,1086 CC,68.05bhp,99.04Nm
916,2016 Hyundai Creta,2016,May-16,Diesel,89336,1582 cc,1st Owner,HR51,Manual,Third Party insurance,861000,904050,1665924,19.67 kmpl,17,5,1582 CC,126.2bhp,259.9Nm
917,2019 Toyota Yaris,2019,Apr-19,Petrol,5021,1496 cc,1st Owner,DL3C,Automatic,Third Party insurance,1017390,1068260,1518291,17.8 kmpl,R15,5,1496 CC,105.94bhp,140Nm
918,2015 Honda City,2015,Oct-15,Petrol,96400,1497 cc,1st Owner,HR26,Automatic,Not Available,620000,651000,1514854,17.4 kmpl,16,5,1497 CC,117.6bhp,145Nm
919,2016 Hyundai Creta,2016,Nov-16,Diesel,70594,1582 cc,1st Owner,DL12,Manual,Third Party insurance,863500,906675,1486060,19.67 kmpl,16,5,1582 CC,126.2bhp,259.9Nm
920,2019 Toyota Yaris,2019,Apr-19,Petrol,5021,1496 cc,1st Owner,DL3C,Automatic,Third Party insurance,1017390,1068260,1518291,17.8 kmpl,R15,5,1496 CC,105.94bhp,140Nm
921,2013 Maruti Swift Dzire,2013,Mar-13,Diesel,67394,1248 cc,2nd Owner,DL1C,Manual,Not Available,409000,429450,858381,23.4 kmpl,15,5,1248 CC,74bhp,190Nm
922,2021 Maruti Swift,2021,Feb-21,Petrol,1669,1197 cc,1st Owner,UP14,Manual,Third Party insurance,629000,660450,624160,21.21 kmpl,5,Other,1197 CC,81.80bhp,113Nm
923,2018 Maruti Ertiga,2018,Jun-18,Diesel,61500,1248 cc,1st Owner,HR26,Manual,Third Party insurance,780000,819000,1120854,24.52 kmpl,15,7,1248 CC,88.5bhp,200Nm
924,2014 Mahindra XUV500,2014,Apr-14,Diesel,10414,2179 cc,2nd Owner,HR26,Manual,Third Party insurance,504000,529200,1498825,15.1 kmpl,7,Silver,2179 CC,140bhp,330Nm
925,2018 Honda City,2018,Feb-18,Petrol,38748,1497 cc,1st Owner,DL8C,Manual,Not Available,861500,904575,1233979,17.4 kmpl,15,5,1497 CC,117.6bhp,145Nm
926,2017 Maruti Ertiga,2017,Jan-17,Diesel,44494,1248 cc,2nd Owner,DL9C,Manual,Third Party insurance,654000,686700,1090934,24.52 kmpl,7,Other,1248 CC,88.5bhp,200Nm
927,2017 Maruti Alto 800,2017,Mar-17,Petrol,23845,796 cc,1st Owner,UP16,Manual,Third Party insurance,240000,252000,421642,24.7 kmpl,5,Other,796 CC,47.3bhp,69Nm
928,2018 Maruti Vitara Brezza,2018,Jun-18,Diesel,60627,1248 cc,1st Owner,HR51,Manual,Third Party insurance,754000,791700,919441,24.3 kmpl,5,Grey,1248 CC,88.5bhp,200Nm
929,2015 Mahindra XUV500,2015,Aug-15,Diesel,73490,2179 cc,1st Owner,UP14,Manual,Third Party insurance,680000,714000,1803608,15.1 kmpl,17,7,2179 CC,140bhp,330Nm
930,2017 Hyundai Creta,2017,Jun-17,Petrol,35096,1591 cc,1st Owner,UP14,Manual,Third Party insurance,770000,808500,1145594,15.8 kmpl,5,White,1591 CC,121.3bhp,151Nm
